"","repository_url","repository_name","type","created_at","payload_comment_body"
"1","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-02 21:44:26","What is the new way of doing offset? `jQuery.offset.setOffset($tip[0], $.extend({...}))`?"
"2","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-02 22:04:55","Not sure how you feel about this function. Seems like there could be something more generic hanging from `$.fn`."
"3","https://github.com/angular-ui/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-03 01:13:00","There's no need for a beforeEach block if this describe block only has one test. This inject block can be inside the it block below."
"4","https://github.com/angular-ui/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-03 01:14:57","It looks like the indentation here is non-standard."
"5","https://github.com/angular-ui/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-03 16:13:19","I just duplicate and existing test (can't remember which) and changed accordingly."
"6","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-03 20:15:43","> and all <code>*.html</code> files are for our documentation should be > and all <code>*.html</code> files for our documentation to make this a correct sentence."
"7","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-06 00:25:06","Please keep this list alphabetized."
"8","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-06 00:34:11","What about testing the example pages too (`/docs/examples`)?"
"9","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-06 00:37:36","I wanted to start with components - the idea here was benchmarking components. The example pages are entire pages with multiple components. Do you see value in benchmarking them too ?"
"10","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-06 00:39:01","Please also modify the JSCS task config accordingly."
"11","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-06 00:41:34","I believe you can leave out the version number and it will default to the latest available version."
"12","https://github.com/twbs/bootstrap","bootstrap","PullRequestReviewCommentEvent","2014-01-06 00:42:05","Shouldn't a platform also be specified?"
